# z=0.0
# H0:67.4 omega_m:0.314885968880016 omega_b:0.049309230511847414 omega_nu:0.0014201463404145906 w:-1.0 wa:0.0 sigma8(z=0):0.8111336682436303
# koh d_cdm d_b d_gamma d_neutrino d_nu d_tot d_nonu d_tot_de Weyl v_newt_cdm v_newt_b v_b_cdm
1.048503e-05 1.978656e+07 1.978656e+07 2.636833e+07 2.636795e+07 1.978875e+07 1.978657e+07 1.978656e+07 1.979323e+07 -4.727959e-01 1.042912e+07 1.042912e+07 5.747584e+00
1.157745e-05 1.978655e+07 1.978655e+07 2.636531e+07 2.636485e+07 1.978873e+07 1.978656e+07 1.978655e+07 1.979322e+07 -4.727958e-01 1.042911e+07 1.042911e+07 6.346220e+00
1.278368e-05 1.978655e+07 1.978654e+07 2.636162e+07 2.636107e+07 1.978872e+07 1.978656e+07 1.978655e+07 1.979321e+07 -4.727956e-01 1.042911e+07 1.042911e+07 7.007158e+00
1.411559e-05 1.978654e+07 1.978654e+07 2.635714e+07 2.635646e+07 1.978870e+07 1.978655e+07 1.978654e+07 1.979320e+07 -4.727953e-01 1.042910e+07 1.042910e+07 7.736868e+00
1.558627e-05 1.978653e+07 1.978653e+07 2.635166e+07 2.635084e+07 1.978867e+07 1.978654e+07 1.978653e+07 1.979319e+07 -4.727950e-01 1.042910e+07 1.042910e+07 8.542482e+00
1.721018e-05 1.978652e+07 1.978651e+07 2.634499e+07 2.634399e+07 1.978864e+07 1.978652e+07 1.978651e+07 1.979318e+07 -4.727946e-01 1.042909e+07 1.042909e+07 9.431867e+00
1.900328e-05 1.978650e+07 1.978650e+07 2.633686e+07 2.633564e+07 1.978860e+07 1.978651e+07 1.978650e+07 1.979316e+07 -4.727942e-01 1.042908e+07 1.042908e+07 1.041369e+01
2.098320e-05 1.978648e+07 1.978648e+07 2.632695e+07 2.632546e+07 1.978856e+07 1.978649e+07 1.978648e+07 1.979314e+07 -4.727936e-01 1.042907e+07 1.042907e+07 1.149751e+01
2.316941e-05 1.978646e+07 1.978646e+07 2.631487e+07 2.631305e+07 1.978850e+07 1.978647e+07 1.978646e+07 1.979312e+07 -4.727930e-01 1.042906e+07 1.042906e+07 1.269385e+01
2.558339e-05 1.978643e+07 1.978643e+07 2.630015e+07 2.629793e+07 1.978843e+07 1.978644e+07 1.978643e+07 1.979308e+07 -4.727921e-01 1.042905e+07 1.042905e+07 1.401429e+01
2.824888e-05 1.978640e+07 1.978640e+07 2.628221e+07 2.627951e+07 1.978835e+07 1.978641e+07 1.978640e+07 1.979305e+07 -4.727912e-01 1.042903e+07 1.042903e+07 1.547158e+01
3.119209e-05 1.978636e+07 1.978635e+07 2.626036e+07 2.625707e+07 1.978825e+07 1.978637e+07 1.978636e+07 1.979300e+07 -4.727899e-01 1.042901e+07 1.042901e+07 1.707972e+01
3.444194e-05 1.978631e+07 1.978631e+07 2.623374e+07 2.622973e+07 1.978813e+07 1.978632e+07 1.978631e+07 1.979294e+07 -4.727885e-01 1.042898e+07 1.042898e+07 1.885408e+01
3.803039e-05 1.978625e+07 1.978624e+07 2.620131e+07 2.619643e+07 1.978797e+07 1.978626e+07 1.978625e+07 1.979287e+07 -4.727867e-01 1.042895e+07 1.042895e+07 2.081153e+01
4.199271e-05 1.978618e+07 1.978617e+07 2.616183e+07 2.615588e+07 1.978779e+07 1.978618e+07 1.978618e+07 1.979279e+07 -4.727845e-01 1.042891e+07 1.042891e+07 2.297054e+01
4.636787e-05 1.978609e+07 1.978608e+07 2.611376e+07 2.610652e+07 1.978757e+07 1.978609e+07 1.978609e+07 1.979269e+07 -4.727818e-01 1.042886e+07 1.042886e+07 2.535127e+01
5.119886e-05 1.978598e+07 1.978597e+07 2.605527e+07 2.604645e+07 1.978730e+07 1.978598e+07 1.978598e+07 1.979257e+07 -4.727786e-01 1.042880e+07 1.042880e+07 2.797572e+01
5.653318e-05 1.978585e+07 1.978583e+07 2.598412e+07 2.597339e+07 1.978696e+07 1.978585e+07 1.978585e+07 1.979241e+07 -4.727746e-01 1.042873e+07 1.042873e+07 3.086779e+01
6.242328e-05 1.978569e+07 1.978567e+07 2.589760e+07 2.588456e+07 1.978656e+07 1.978569e+07 1.978568e+07 1.979223e+07 -4.727698e-01 1.042865e+07 1.042864e+07 3.405336e+01
6.892706e-05 1.978549e+07 1.978547e+07 2.579248e+07 2.577664e+07 1.978606e+07 1.978549e+07 1.978549e+07 1.979201e+07 -4.727639e-01 1.042854e+07 1.042853e+07 3.756034e+01
7.610846e-05 1.978525e+07 1.978522e+07 2.566485e+07 2.564561e+07 1.978546e+07 1.978525e+07 1.978525e+07 1.979173e+07 -4.727567e-01 1.042841e+07 1.042840e+07 4.141860e+01
8.403807e-05 1.978496e+07 1.978492e+07 2.551002e+07 2.548668e+07 1.978473e+07 1.978495e+07 1.978496e+07 1.979140e+07 -4.727480e-01 1.042826e+07 1.042825e+07 4.565993e+01
9.279386e-05 1.978461e+07 1.978456e+07 2.532242e+07 2.529412e+07 1.978383e+07 1.978460e+07 1.978460e+07 1.979099e+07 -4.727373e-01 1.042807e+07 1.042805e+07 5.031779e+01
1.024619e-04 1.978418e+07 1.978412e+07 2.509540e+07 2.506116e+07 1.978274e+07 1.978416e+07 1.978417e+07 1.979050e+07 -4.727244e-01 1.042784e+07 1.042782e+07 5.542695e+01
1.131372e-04 1.978365e+07 1.978358e+07 2.482116e+07 2.477977e+07 1.978142e+07 1.978363e+07 1.978364e+07 1.978990e+07 -4.727087e-01 1.042755e+07 1.042753e+07 6.102292e+01
1.249248e-04 1.978301e+07 1.978293e+07 2.449053e+07 2.444061e+07 1.977980e+07 1.978298e+07 1.978300e+07 1.978917e+07 -4.726895e-01 1.042721e+07 1.042718e+07 6.714111e+01
1.379405e-04 1.978223e+07 1.978213e+07 2.409291e+07 2.403285e+07 1.977783e+07 1.978220e+07 1.978222e+07 1.978828e+07 -4.726663e-01 1.042679e+07 1.042676e+07 7.381557e+01
1.523123e-04 1.978128e+07 1.978116e+07 2.361619e+07 2.354414e+07 1.977543e+07 1.978124e+07 1.978126e+07 1.978720e+07 -4.726381e-01 1.042628e+07 1.042624e+07 8.107728e+01
1.681815e-04 1.978013e+07 1.977998e+07 2.304676e+07 2.296063e+07 1.977251e+07 1.978007e+07 1.978011e+07 1.978589e+07 -4.726039e-01 1.042566e+07 1.042561e+07 8.895184e+01
1.857041e-04 1.977873e+07 1.977855e+07 2.236968e+07 2.226716e+07 1.976895e+07 1.977866e+07 1.977870e+07 1.978430e+07 -4.725624e-01 1.042490e+07 1.042485e+07 9.745635e+01
2.050523e-04 1.977703e+07 1.977681e+07 2.156909e+07 2.144774e+07 1.976462e+07 1.977694e+07 1.977699e+07 1.978237e+07 -4.725122e-01 1.042398e+07 1.042392e+07 1.065953e+02
2.264163e-04 1.977496e+07 1.977470e+07 2.062897e+07 2.048626e+07 1.975936e+07 1.977485e+07 1.977492e+07 1.978005e+07 -4.724515e-01 1.042287e+07 1.042279e+07 1.163556e+02
2.500063e-04 1.977245e+07 1.977214e+07 1.953431e+07 1.936786e+07 1.975296e+07 1.977232e+07 1.977240e+07 1.977724e+07 -4.723782e-01 1.042152e+07 1.042143e+07 1.266998e+02
2.760540e-04 1.976942e+07 1.976903e+07 1.827296e+07 1.808077e+07 1.974519e+07 1.976925e+07 1.976936e+07 1.977385e+07 -4.722901e-01 1.041989e+07 1.041977e+07 1.375587e+02
3.048156e-04 1.976574e+07 1.976528e+07 1.683823e+07 1.661906e+07 1.973575e+07 1.976554e+07 1.976567e+07 1.976977e+07 -4.721843e-01 1.041791e+07 1.041777e+07 1.488226e+02
3.365739e-04 1.976130e+07 1.976075e+07 1.523229e+07 1.498620e+07 1.972430e+07 1.976105e+07 1.976122e+07 1.976488e+07 -4.720576e-01 1.041551e+07 1.041535e+07 1.603317e+02
