# z=200.0
# H0:67.4 omega_m:0.314885968880016 omega_b:0.049309230511847414 omega_nu:0.0014201463404145906 w:-1.0 wa:0.0 sigma8(z=0):0.03365144806932789
# koh d_cdm d_b d_gamma d_neutrino d_nu d_tot d_nonu d_tot_de Weyl v_newt_cdm v_newt_b v_b_cdm
1.048503e-05 1.128367e+05 1.128367e+05 1.504487e+05 1.504486e+05 1.404865e+05 1.130965e+05 1.128367e+05 1.206974e+05 -6.068626e-01 1.124932e+05 1.124932e+05 6.849829e-01
1.157745e-05 1.128367e+05 1.128367e+05 1.504486e+05 1.504486e+05 1.404864e+05 1.130965e+05 1.128367e+05 1.206974e+05 -6.068625e-01 1.124932e+05 1.124932e+05 7.563500e-01
1.278368e-05 1.128367e+05 1.128367e+05 1.504486e+05 1.504485e+05 1.404863e+05 1.130965e+05 1.128367e+05 1.206974e+05 -6.068625e-01 1.124932e+05 1.124932e+05 8.351529e-01
1.411559e-05 1.128367e+05 1.128367e+05 1.504485e+05 1.504484e+05 1.404862e+05 1.130965e+05 1.128367e+05 1.206974e+05 -6.068625e-01 1.124932e+05 1.124932e+05 9.221660e-01
1.558627e-05 1.128367e+05 1.128367e+05 1.504484e+05 1.504482e+05 1.404861e+05 1.130965e+05 1.128367e+05 1.206974e+05 -6.068624e-01 1.124932e+05 1.124932e+05 1.018245e+00
1.721018e-05 1.128367e+05 1.128367e+05 1.504482e+05 1.504481e+05 1.404860e+05 1.130964e+05 1.128367e+05 1.206974e+05 -6.068623e-01 1.124932e+05 1.124932e+05 1.124334e+00
1.900328e-05 1.128367e+05 1.128366e+05 1.504481e+05 1.504479e+05 1.404858e+05 1.130964e+05 1.128367e+05 1.206973e+05 -6.068622e-01 1.124932e+05 1.124932e+05 1.241477e+00
2.098320e-05 1.128367e+05 1.128366e+05 1.504479e+05 1.504477e+05 1.404856e+05 1.130964e+05 1.128367e+05 1.206973e+05 -6.068621e-01 1.124932e+05 1.124932e+05 1.370824e+00
2.316941e-05 1.128366e+05 1.128366e+05 1.504477e+05 1.504474e+05 1.404854e+05 1.130964e+05 1.128366e+05 1.206973e+05 -6.068619e-01 1.124932e+05 1.124932e+05 1.513647e+00
2.558339e-05 1.128366e+05 1.128366e+05 1.504474e+05 1.504470e+05 1.404851e+05 1.130964e+05 1.128366e+05 1.206973e+05 -6.068617e-01 1.124931e+05 1.124931e+05 1.671351e+00
