# z=30.0
# H0:67.4 omega_m:0.314885968880016 omega_b:0.049309230511847414 omega_nu:0.0014201463404145906 w:-1.0 wa:0.0 sigma8(z=0):0.03365144806932789
# koh d_cdm d_b d_gamma d_neutrino d_nu d_tot d_nonu d_tot_de Weyl v_newt_cdm v_newt_b v_b_cdm
1.048503e-05 7.977023e+05 7.977023e+05 1.063585e+06 1.063584e+06 8.202956e+05 7.978089e+05 7.977023e+05 8.061354e+05 -6.017426e-01 7.957504e+05 7.957504e+05 1.356123e-01
1.157745e-05 7.977022e+05 7.977022e+05 1.063581e+06 1.063580e+06 8.202944e+05 7.978088e+05 7.977022e+05 8.061353e+05 -6.017425e-01 7.957503e+05 7.957503e+05 1.497415e-01
1.278368e-05 7.977021e+05 7.977021e+05 1.063576e+06 1.063575e+06 8.202929e+05 7.978087e+05 7.977021e+05 8.061352e+05 -6.017424e-01 7.957502e+05 7.957502e+05 1.653428e-01
1.411559e-05 7.977020e+05 7.977020e+05 1.063570e+06 1.063568e+06 8.202911e+05 7.978086e+05 7.977020e+05 8.061350e+05 -6.017422e-01 7.957501e+05 7.957501e+05 1.825695e-01
1.558627e-05 7.977018e+05 7.977018e+05 1.063562e+06 1.063561e+06 8.202889e+05 7.978084e+05 7.977018e+05 8.061348e+05 -6.017420e-01 7.957499e+05 7.957499e+05 2.015910e-01
1.721018e-05 7.977017e+05 7.977016e+05 1.063553e+06 1.063551e+06 8.202862e+05 7.978082e+05 7.977017e+05 8.061344e+05 -6.017419e-01 7.957498e+05 7.957498e+05 2.225943e-01
1.900328e-05 7.977014e+05 7.977014e+05 1.063542e+06 1.063540e+06 8.202831e+05 7.978079e+05 7.977014e+05 8.061341e+05 -6.017416e-01 7.957496e+05 7.957496e+05 2.457858e-01
2.098320e-05 7.977012e+05 7.977011e+05 1.063528e+06 1.063526e+06 8.202791e+05 7.978077e+05 7.977012e+05 8.061337e+05 -6.017413e-01 7.957492e+05 7.957492e+05 2.713936e-01
2.316941e-05 7.977008e+05 7.977008e+05 1.063512e+06 1.063509e+06 8.202742e+05 7.978073e+05 7.977008e+05 8.061332e+05 -6.017409e-01 7.957489e+05 7.957489e+05 2.996694e-01
2.558339e-05 7.977004e+05 7.977004e+05 1.063492e+06 1.063488e+06 8.202683e+05 7.978069e+05 7.977004e+05 8.061326e+05 -6.017404e-01 7.957485e+05 7.957485e+05 3.308910e-01
2.824888e-05 7.976998e+05 7.976998e+05 1.063467e+06 1.063462e+06 8.202611e+05 7.978063e+05 7.976998e+05 8.061319e+05 -6.017398e-01 7.957480e+05 7.957480e+05 3.653654e-01
3.119209e-05 7.976992e+05 7.976992e+05 1.063437e+06 1.063432e+06 8.202524e+05 7.978056e+05 7.976992e+05 8.061310e+05 -6.017391e-01 7.957473e+05 7.957473e+05 4.034314e-01
3.444194e-05 7.976985e+05 7.976984e+05 1.063401e+06 1.063394e+06 8.202418e+05 7.978049e+05 7.976984e+05 8.061299e+05 -6.017382e-01 7.957466e+05 7.957466e+05 4.454632e-01
3.803039e-05 7.976975e+05 7.976974e+05 1.063356e+06 1.063348e+06 8.202286e+05 7.978038e+05 7.976975e+05 8.061286e+05 -6.017371e-01 7.957456e+05 7.957456e+05 4.918737e-01
