# z=100.0
# H0:67.4 omega_m:0.314885968880016 omega_b:0.049309230511847414 omega_nu:0.0014201463404145906 w:-1.0 wa:0.0 sigma8(z=0):0.03365144806932789
# koh d_cdm d_b d_gamma d_neutrino d_nu d_tot d_nonu d_tot_de Weyl v_newt_cdm v_newt_b v_b_cdm
1.048503e-05 2.360226e+05 2.360226e+05 3.146956e+05 3.146954e+05 2.712337e+05 2.362421e+05 2.360226e+05 2.442566e+05 -6.045467e-01 2.349458e+05 2.349458e+05 3.802509e-01
1.157745e-05 2.360226e+05 2.360226e+05 3.146952e+05 3.146950e+05 2.712334e+05 2.362421e+05 2.360226e+05 2.442566e+05 -6.045466e-01 2.349458e+05 2.349458e+05 4.198686e-01
1.278368e-05 2.360226e+05 2.360226e+05 3.146949e+05 3.146947e+05 2.712332e+05 2.362421e+05 2.360226e+05 2.442566e+05 -6.045465e-01 2.349458e+05 2.349458e+05 4.636140e-01
1.411559e-05 2.360226e+05 2.360226e+05 3.146944e+05 3.146941e+05 2.712328e+05 2.362420e+05 2.360226e+05 2.442566e+05 -6.045464e-01 2.349458e+05 2.349457e+05 5.119171e-01
1.558627e-05 2.360226e+05 2.360225e+05 3.146938e+05 3.146935e+05 2.712324e+05 2.362420e+05 2.360226e+05 2.442565e+05 -6.045463e-01 2.349457e+05 2.349457e+05 5.652528e-01
1.721018e-05 2.360225e+05 2.360225e+05 3.146932e+05 3.146928e+05 2.712319e+05 2.362420e+05 2.360225e+05 2.442565e+05 -6.045462e-01 2.349457e+05 2.349457e+05 6.241454e-01
1.900328e-05 2.360225e+05 2.360225e+05 3.146924e+05 3.146918e+05 2.712312e+05 2.362419e+05 2.360225e+05 2.442564e+05 -6.045461e-01 2.349456e+05 2.349456e+05 6.891740e-01
2.098320e-05 2.360225e+05 2.360224e+05 3.146913e+05 3.146908e+05 2.712305e+05 2.362419e+05 2.360225e+05 2.442563e+05 -6.045459e-01 2.349456e+05 2.349456e+05 7.609777e-01
2.316941e-05 2.360224e+05 2.360224e+05 3.146902e+05 3.146894e+05 2.712296e+05 2.362418e+05 2.360224e+05 2.442562e+05 -6.045457e-01 2.349455e+05 2.349455e+05 8.402625e-01
2.558339e-05 2.360223e+05 2.360223e+05 3.146887e+05 3.146877e+05 2.712284e+05 2.362418e+05 2.360223e+05 2.442561e+05 -6.045453e-01 2.349455e+05 2.349455e+05 9.278076e-01
