# z=70.0
# H0:67.4 omega_m:0.314885968880016 omega_b:0.049309230511847414 omega_nu:0.0014201463404145906 w:-1.0 wa:0.0 sigma8(z=0):0.03365144806932789
# koh d_cdm d_b d_gamma d_neutrino d_nu d_tot d_nonu d_tot_de Weyl v_newt_cdm v_newt_b v_b_cdm
1.681815e-04 3.409963e+05 3.409940e+05 4.539017e+05 4.538391e+05 3.748043e+05 3.411807e+05 3.409960e+05 3.493128e+05 -6.034310e-01 3.396062e+05 3.396058e+05 4.495845e+00
1.857041e-04 3.409902e+05 3.409874e+05 4.537271e+05 4.536507e+05 3.746995e+05 3.411739e+05 3.409898e+05 3.493029e+05 -6.034129e-01 3.396001e+05 3.395995e+05 4.964115e+00
2.050523e-04 3.409827e+05 3.409793e+05 4.535142e+05 4.534211e+05 3.745718e+05 3.411657e+05 3.409822e+05 3.492907e+05 -6.033908e-01 3.395926e+05 3.395918e+05 5.481123e+00
2.264163e-04 3.409736e+05 3.409694e+05 4.532548e+05 4.531414e+05 3.744161e+05 3.411557e+05 3.409730e+05 3.492759e+05 -6.033638e-01 3.395833e+05 3.395825e+05 6.051929e+00
2.500063e-04 3.409625e+05 3.409573e+05 4.529387e+05 4.528006e+05 3.742264e+05 3.411434e+05 3.409617e+05 3.492579e+05 -6.033309e-01 3.395722e+05 3.395711e+05 6.682116e+00
2.760540e-04 3.409489e+05 3.409427e+05 4.525535e+05 4.523853e+05 3.739953e+05 3.411285e+05 3.409479e+05 3.492359e+05 -6.032907e-01 3.395585e+05 3.395572e+05 7.377840e+00
3.048156e-04 3.409324e+05 3.409248e+05 4.520843e+05 4.518794e+05 3.737137e+05 3.411103e+05 3.409312e+05 3.492091e+05 -6.032419e-01 3.395418e+05 3.395403e+05 8.145884e+00
3.365739e-04 3.409123e+05 3.409029e+05 4.515128e+05 4.512634e+05 3.733706e+05 3.410881e+05 3.409108e+05 3.491764e+05 -6.031823e-01 3.395216e+05 3.395197e+05 8.993728e+00
3.716409e-04 3.408878e+05 3.408763e+05 4.508169e+05 4.505133e+05 3.729528e+05 3.410611e+05 3.408860e+05 3.491366e+05 -6.031097e-01 3.394968e+05 3.394945e+05 9.929611e+00
4.103616e-04 3.408578e+05 3.408439e+05 4.499697e+05 4.496004e+05 3.724440e+05 3.410282e+05 3.408557e+05 3.490882e+05 -6.030212e-01 3.394667e+05 3.394638e+05 1.096260e+01
